Index,RecordingTime,Camera,Video,Empty
1,recording_2019_07_4_6_50_am,cam_10,cam_10-00000-00120.mov,FALSE
2,recording_2019_07_4_6_50_am,cam_10,cam_10-00120-00240.mov,FALSE
3,recording_2019_07_4_6_50_am,cam_10,cam_10-00240-00360.mov,FALSE
4,recording_2019_07_4_6_50_am,cam_10,cam_10-00360-00480.mov,FALSE
5,recording_2019_07_4_6_50_am,cam_10,cam_10-00480-00600.mov,FALSE
6,recording_2019_07_4_6_50_am,cam_10,cam_10-00600-00720.mov,FALSE
7,recording_2019_07_4_6_50_am,cam_10,cam_10-00720-00840.mov,FALSE
8,recording_2019_07_4_6_50_am,cam_10,cam_10-00840-00960.mov,FALSE
9,recording_2019_07_4_6_50_am,cam_10,cam_10-00960-01080.mov,FALSE
10,recording_2019_07_4_6_50_am,cam_10,cam_10-01080-01200.mov,FALSE
11,recording_2019_07_4_6_50_am,cam_10,cam_10-01200-01320.mov,FALSE
12,recording_2019_07_4_6_50_am,cam_10,cam_10-01320-01440.mov,FALSE
13,recording_2019_07_4_6_50_am,cam_10,cam_10-01440-01560.mov,FALSE
14,recording_2019_07_4_6_50_am,cam_10,cam_10-01560-01680.mov,FALSE
15,recording_2019_07_4_6_50_am,cam_10,cam_10-01680-01800.mov,FALSE
16,recording_2019_07_4_6_50_am,cam_10,cam_10-01800-01920.mov,FALSE
17,recording_2019_07_4_6_50_am,cam_10,cam_10-01920-02040.mov,FALSE
18,recording_2019_07_4_6_50_am,cam_10,cam_10-02040-02160.mov,FALSE
19,recording_2019_07_4_6_50_am,cam_10,cam_10-02160-02280.mov,FALSE
20,recording_2019_07_4_6_50_am,cam_10,cam_10-02280-02400.mov,FALSE
21,recording_2019_07_4_6_50_am,cam_10,cam_10-02400-02520.mov,FALSE
22,recording_2019_07_4_6_50_am,cam_10,cam_10-02520-02640.mov,FALSE
23,recording_2019_07_4_6_50_am,cam_10,cam_10-02640-02760.mov,FALSE
24,recording_2019_07_4_6_50_am,cam_10,cam_10-02760-02880.mov,FALSE
25,recording_2019_07_4_6_50_am,cam_10,cam_10-02880-03000.mov,FALSE
26,recording_2019_07_4_6_50_am,cam_10,cam_10-03000-03120.mov,FALSE
27,recording_2019_07_4_6_50_am,cam_10,cam_10-03120-03240.mov,FALSE
28,recording_2019_07_4_6_50_am,cam_10,cam_10-03240-03360.mov,FALSE
29,recording_2019_07_4_6_50_am,cam_10,cam_10-03360-03480.mov,FALSE
30,recording_2019_07_4_6_50_am,cam_10,cam_10-03480-03600.mov,FALSE
31,recording_2019_07_4_6_50_am,cam_10,cam_10-03600-03720.mov,FALSE
32,recording_2019_07_4_6_50_am,cam_10,cam_10-03720-03840.mov,FALSE
33,recording_2019_07_4_6_50_am,cam_10,cam_10-03840-03960.mov,FALSE
34,recording_2019_07_4_6_50_am,cam_10,cam_10-03960-04080.mov,FALSE
35,recording_2019_07_4_6_50_am,cam_10,cam_10-04080-04200.mov,FALSE
36,recording_2019_07_4_6_50_am,cam_10,cam_10-04200-04320.mov,FALSE
37,recording_2019_07_4_6_50_am,cam_10,cam_10-04320-04440.mov,FALSE
38,recording_2019_07_4_6_50_am,cam_10,cam_10-04440-04560.mov,FALSE
39,recording_2019_07_4_6_50_am,cam_10,cam_10-04560-04680.mov,FALSE
40,recording_2019_07_4_6_50_am,cam_10,cam_10-04680-04800.mov,FALSE
41,recording_2019_07_4_6_50_am,cam_10,cam_10-04800-04920.mov,FALSE
42,recording_2019_07_4_6_50_am,cam_10,cam_10-04920-05040.mov,FALSE
43,recording_2019_07_4_6_50_am,cam_10,cam_10-05040-05160.mov,FALSE
44,recording_2019_07_4_6_50_am,cam_10,cam_10-05160-05280.mov,FALSE
45,recording_2019_07_4_6_50_am,cam_10,cam_10-05280-05400.mov,FALSE
46,recording_2019_07_4_6_50_am,cam_10,cam_10-05400-05520.mov,FALSE
47,recording_2019_07_4_6_50_am,cam_10,cam_10-05520-05640.mov,FALSE
48,recording_2019_07_4_6_50_am,cam_10,cam_10-05640-05760.mov,FALSE
49,recording_2019_07_4_6_50_am,cam_10,cam_10-05760-05880.mov,FALSE
50,recording_2019_07_4_6_50_am,cam_10,cam_10-05880-06000.mov,FALSE
51,recording_2019_07_4_6_50_am,cam_10,cam_10-06000-06120.mov,FALSE
52,recording_2019_07_4_6_50_am,cam_10,cam_10-06120-06240.mov,FALSE
53,recording_2019_07_4_6_50_am,cam_10,cam_10-06240-06360.mov,FALSE
54,recording_2019_07_4_6_50_am,cam_10,cam_10-06360-06480.mov,FALSE
55,recording_2019_07_4_6_50_am,cam_10,cam_10-06480-06600.mov,FALSE
56,recording_2019_07_4_6_50_am,cam_10,cam_10-06600-06720.mov,FALSE
57,recording_2019_07_4_6_50_am,cam_10,cam_10-06720-06840.mov,FALSE
58,recording_2019_07_4_6_50_am,cam_10,cam_10-06840-06960.mov,FALSE
59,recording_2019_07_4_6_50_am,cam_10,cam_10-06960-07080.mov,FALSE
60,recording_2019_07_4_6_50_am,cam_10,cam_10-07080-07200.mov,FALSE
61,recording_2019_07_4_6_50_am,cam_10,cam_10-07200-07320.mov,FALSE
62,recording_2019_07_4_6_50_am,cam_10,cam_10-07320-07440.mov,FALSE
63,recording_2019_07_4_6_50_am,cam_10,cam_10-07440-07560.mov,FALSE
64,recording_2019_07_4_6_50_am,cam_10,cam_10-07560-07680.mov,FALSE
65,recording_2019_07_4_6_50_am,cam_10,cam_10-07680-07800.mov,FALSE
66,recording_2019_07_4_6_50_am,cam_10,cam_10-07800-07920.mov,FALSE
67,recording_2019_07_4_6_50_am,cam_10,cam_10-07920-08040.mov,FALSE
68,recording_2019_07_4_6_50_am,cam_10,cam_10-08040-08160.mov,FALSE
69,recording_2019_07_4_6_50_am,cam_10,cam_10-08160-08280.mov,FALSE
70,recording_2019_07_4_6_50_am,cam_10,cam_10-08280-08400.mov,FALSE
71,recording_2019_07_4_6_50_am,cam_10,cam_10-08400-08520.mov,FALSE
72,recording_2019_07_4_6_50_am,cam_10,cam_10-08520-08640.mov,FALSE
73,recording_2019_07_4_6_50_am,cam_10,cam_10-08640-08760.mov,FALSE
74,recording_2019_07_4_6_50_am,cam_10,cam_10-08760-08880.mov,FALSE
75,recording_2019_07_4_6_50_am,cam_10,cam_10-08880-09000.mov,FALSE
76,recording_2019_07_4_6_50_am,cam_10,cam_10-09000-09120.mov,FALSE
77,recording_2019_07_4_6_50_am,cam_10,cam_10-09120-09240.mov,FALSE
78,recording_2019_07_4_6_50_am,cam_10,cam_10-09240-09360.mov,FALSE
79,recording_2019_07_4_6_50_am,cam_10,cam_10-09360-09480.mov,FALSE
80,recording_2019_07_4_6_50_am,cam_10,cam_10-09480-09600.mov,FALSE
81,recording_2019_07_4_6_50_am,cam_10,cam_10-09600-09720.mov,FALSE
82,recording_2019_07_4_6_50_am,cam_10,cam_10-09720-09840.mov,FALSE
83,recording_2019_07_4_6_50_am,cam_10,cam_10-09840-09960.mov,FALSE
84,recording_2019_07_4_6_50_am,cam_10,cam_10-09960-10080.mov,FALSE
85,recording_2019_07_4_6_50_am,cam_10,cam_10-10080-10200.mov,FALSE
86,recording_2019_07_4_6_50_am,cam_10,cam_10-10200-10320.mov,FALSE
87,recording_2019_07_4_6_50_am,cam_10,cam_10-10320-10440.mov,FALSE
88,recording_2019_07_4_6_50_am,cam_10,cam_10-10440-10560.mov,FALSE
89,recording_2019_07_4_6_50_am,cam_10,cam_10-10560-10680.mov,FALSE
90,recording_2019_07_4_6_50_am,cam_10,cam_10-10680-10800.mov,FALSE
91,recording_2019_07_4_6_50_am,cam_10,cam_10-10800-10920.mov,FALSE
92,recording_2019_07_4_6_50_am,cam_10,cam_10-10920-11040.mov,FALSE
93,recording_2019_07_4_6_50_am,cam_10,cam_10-11040-11160.mov,FALSE
94,recording_2019_07_4_6_50_am,cam_10,cam_10-11160-11280.mov,FALSE
95,recording_2019_07_4_6_50_am,cam_10,cam_10-11280-11400.mov,FALSE
96,recording_2019_07_4_6_50_am,cam_10,cam_10-11400-11520.mov,FALSE
97,recording_2019_07_4_6_50_am,cam_10,cam_10-11520-11640.mov,FALSE
98,recording_2019_07_4_6_50_am,cam_10,cam_10-11640-11760.mov,FALSE
99,recording_2019_07_4_6_50_am,cam_10,cam_10-11760-11880.mov,FALSE
100,recording_2019_07_4_6_50_am,cam_10,cam_10-11880-12000.mov,FALSE
101,recording_2019_07_4_6_50_am,cam_10,cam_10-12000-12120.mov,FALSE
102,recording_2019_07_4_6_50_am,cam_10,cam_10-12120-12240.mov,FALSE
103,recording_2019_07_4_6_50_am,cam_10,cam_10-12240-12360.mov,FALSE
104,recording_2019_07_4_6_50_am,cam_10,cam_10-12360-12480.mov,FALSE
105,recording_2019_07_4_6_50_am,cam_10,cam_10-12480-12600.mov,FALSE
106,recording_2019_07_4_6_50_am,cam_10,cam_10-12600-12720.mov,FALSE
107,recording_2019_07_4_6_50_am,cam_10,cam_10-12720-12840.mov,FALSE
108,recording_2019_07_4_6_50_am,cam_10,cam_10-12840-12960.mov,FALSE
109,recording_2019_07_4_6_50_am,cam_10,cam_10-12960-13080.mov,FALSE
110,recording_2019_07_4_6_50_am,cam_10,cam_10-13080-13200.mov,FALSE
111,recording_2019_07_4_6_50_am,cam_10,cam_10-13200-13320.mov,FALSE
112,recording_2019_07_4_6_50_am,cam_10,cam_10-13320-13440.mov,FALSE
113,recording_2019_07_4_6_50_am,cam_10,cam_10-13440-13560.mov,FALSE
114,recording_2019_07_4_6_50_am,cam_10,cam_10-13560-13680.mov,FALSE
115,recording_2019_07_4_6_50_am,cam_10,cam_10-13680-13800.mov,FALSE
116,recording_2019_07_4_6_50_am,cam_10,cam_10-13800-13920.mov,FALSE
117,recording_2019_07_4_6_50_am,cam_10,cam_10-13920-14040.mov,FALSE
118,recording_2019_07_4_6_50_am,cam_10,cam_10-14040-14160.mov,FALSE
119,recording_2019_07_4_6_50_am,cam_10,cam_10-14160-14280.mov,FALSE
120,recording_2019_07_4_6_50_am,cam_10,cam_10-14280-14400.mov,FALSE
121,recording_2019_07_4_6_50_am,cam_10,cam_10-14400-14520.mov,FALSE
122,recording_2019_07_4_6_50_am,cam_10,cam_10-14520-14640.mov,FALSE
123,recording_2019_07_4_6_50_am,cam_10,cam_10-14640-14760.mov,FALSE
124,recording_2019_07_4_6_50_am,cam_10,cam_10-14760-14880.mov,FALSE
125,recording_2019_07_4_6_50_am,cam_10,cam_10-14880-15000.mov,FALSE
126,recording_2019_07_4_6_50_am,cam_10,cam_10-15000-15120.mov,FALSE
127,recording_2019_07_4_6_50_am,cam_10,cam_10-15120-15240.mov,FALSE
128,recording_2019_07_4_6_50_am,cam_10,cam_10-15240-15360.mov,FALSE
129,recording_2019_07_4_6_50_am,cam_10,cam_10-15360-15480.mov,FALSE
130,recording_2019_07_4_6_50_am,cam_10,cam_10-15480-15600.mov,FALSE
131,recording_2019_07_4_6_50_am,cam_10,cam_10-15600-15720.mov,FALSE
132,recording_2019_07_4_6_50_am,cam_10,cam_10-15720-15840.mov,FALSE
133,recording_2019_07_4_6_50_am,cam_10,cam_10-15840-15960.mov,FALSE
134,recording_2019_07_4_6_50_am,cam_10,cam_10-15960-16080.mov,FALSE
135,recording_2019_07_4_6_50_am,cam_10,cam_10-16080-16200.mov,FALSE
136,recording_2019_07_4_6_50_am,cam_10,cam_10-16200-16320.mov,FALSE
137,recording_2019_07_4_6_50_am,cam_10,cam_10-16320-16440.mov,FALSE
138,recording_2019_07_4_6_50_am,cam_10,cam_10-16440-16560.mov,FALSE
139,recording_2019_07_4_6_50_am,cam_10,cam_10-16560-16680.mov,FALSE
140,recording_2019_07_4_6_50_am,cam_10,cam_10-16680-16800.mov,FALSE
141,recording_2019_07_4_6_50_am,cam_10,cam_10-16800-16920.mov,FALSE
142,recording_2019_07_4_6_50_am,cam_10,cam_10-16920-17040.mov,FALSE
143,recording_2019_07_4_6_50_am,cam_10,cam_10-17040-17160.mov,FALSE
144,recording_2019_07_4_6_50_am,cam_10,cam_10-17160-17280.mov,FALSE
145,recording_2019_07_4_6_50_am,cam_10,cam_10-17280-17400.mov,FALSE
146,recording_2019_07_4_6_50_am,cam_10,cam_10-17400-17520.mov,FALSE
147,recording_2019_07_4_6_50_am,cam_10,cam_10-17520-17640.mov,FALSE
148,recording_2019_07_4_6_50_am,cam_10,cam_10-17640-17760.mov,FALSE
149,recording_2019_07_4_6_50_am,cam_10,cam_10-17760-17880.mov,FALSE
150,recording_2019_07_4_6_50_am,cam_10,cam_10-17880-18000.mov,FALSE
151,recording_2019_07_4_6_50_am,cam_10,cam_10-18000-18120.mov,FALSE
152,recording_2019_07_4_6_50_am,cam_10,cam_10-18120-18240.mov,FALSE
153,recording_2019_07_4_6_50_am,cam_10,cam_10-18240-18360.mov,FALSE
154,recording_2019_07_4_6_50_am,cam_10,cam_10-18360-18480.mov,FALSE
155,recording_2019_07_4_6_50_am,cam_10,cam_10-18480-18600.mov,FALSE
156,recording_2019_07_4_6_50_am,cam_10,cam_10-18600-18720.mov,FALSE
157,recording_2019_07_4_6_50_am,cam_10,cam_10-18720-18840.mov,FALSE
158,recording_2019_07_4_6_50_am,cam_10,cam_10-18840-18960.mov,FALSE
159,recording_2019_07_4_6_50_am,cam_10,cam_10-18960-19080.mov,FALSE
160,recording_2019_07_4_6_50_am,cam_10,cam_10-19080-19200.mov,FALSE
161,recording_2019_07_4_6_50_am,cam_10,cam_10-19200-19320.mov,FALSE
162,recording_2019_07_4_6_50_am,cam_10,cam_10-19320-19440.mov,FALSE
163,recording_2019_07_4_6_50_am,cam_10,cam_10-19440-19560.mov,FALSE
